code,name,country,city
AAA,Anaa,PF,
AAB,Arrabury Airport,AU,Tanbar
AAC,El Arish International Airport,EG,Arish
AAD,Adado Airport,SO,Adado
AAE,Les Salines Airport,DZ,El Hadjar
AAF,Apalachicola Regional,US,Apalachicola
AAG,Arapoti,BR,Jaguariaiva
AAH,Aachen/Merzbruck,DE,
AAI,Arraias,BR,Campos Belos
AAJ,Cayana Airstrip,SR,Kajana
AAK,Aranuka,KI,
AAL,Aalborg Airport,DK,Vadum
AAM,Mala Mala,ZA,
AAN,Al Ain Airport,AE,
AAO,Anaco,VE,Anaco
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,
AAQ,Anapa Airport,RU,Anapa
AAR,Aarhus Airport,DK,Ebeltoft
AAS,Apalapsili,ID,
AAT,Altay Airport,CN,Awiytan
AAU,Asau,WS,Asau
AAV,Allah Valley,PH,Surallah
AAW,Abbottabad,PK,Abbottabad
AAX,Araxa Airport,BR,Araxa
AAY,Al Ghaydah,YE,Al Ghayzah
AAZ,Quetzaltenango,GT,Olintepeque
ABA,Abakan Airport,RU,Podsineye
ABB,Asaba International Airport,NG,Asaba
ABC,Los Llanos,ES,
ABD,Abadan Airport,IR,Abadan
ABE,Lehigh Valley International Airport,US,Catasauqua
ABF,Abaiang,KI,Buota Village
ABG,Abingdon,AU,
ABH,Alpha,AU,
ABI,Abilene Regional Airport,US,
ABJ,Felix Houphouet Boigny Airport,CI,Abidjan
ABK,Kabri Dar,ET,
ABL,Ambler Airport,US,
ABM,Northern Peninsula Airport,AU,
ABN,Albina,SR,
ABO,Aboisso,CI,Aboisso
ABP,Atkamba,PG,
ABQ,Albuquerque International Sunport,US,Albuquerque
ABR,Aberdeen Municipal Airport,US,Aberdeen
ABS,Abu Simbel,EG,
ABT,Al-Aqiq Airport,SA,Al Bahah
ABU,Haliwen Airport,ID,Atambua
ABV,Nnamdi Azikiwe International Airport,NG,Madala
ABW,Abau,PG,
ABX,Albury Airport,AU,East Albury
ABY,Southwest Georgia Regional Airport,US,
ABZ,Aberdeen International Airport,GB,Dyce
ACA,Acapulco International Airport,MX,10 de Abril
ACB,Antrim County,US,Bellaire
ACC,Kotoka International Airport,GH,Accra
ACD,Acandi,CO,
ACE,Lanzarote Airport,ES,Tias
ACF,Alaer Talimu Airport,CN,Aral
ACH,Altenrhein Airport,CH,Rheineck
ACI,Alderney Airport,GB,Beaumont-Hague
ACJ,Anuradhapura,LK,Anuradhapura
ACK,Nantucket Memorial Airport,US,Nantucket
ACL,Aguaclara,CO,Sabanalarga
ACM,Arica,CO,Pebas
ACN,International,MX,
ACO,Cobano Airport,CR,Cobano
ACP,Sahand,IR,Bonab
ACR,Araracuara,CO,
ACS,Achinsk,RU,Achinsk
ACT,Waco Municipal Airport,US,Gholson
ACU,Achutupo,PA,Portobelo
ACV,Arcata-Eureka Airport,US,McKinleyville
ACX,Xingyi Airport,CN,Xinzhou
ACY,Atlantic City International Airport,US,Pomona
ACZ,Zabol Airport,IR,Zabol
ADA,Adana Airport,TR,Seyhan
ADB,Izmir Adnan Menderes Airport,TR,
ADC,Andakombe,PG,
ADD,Addis Ababa Bole International Airport,ET,Addis Ababa
ADE,International,YE,Khawr Maksar
ADF,Adiyaman Airport,TR,Adiyaman
ADG,Lenawee County,US,Adrian
ADH,Aldan,RU,Aldan
ADI,Arandis,NA,Arandis
ADJ,Marka International Airport,JO,Amman
ADK,Adak Island Ns,US,
ADL,Adelaide Airport,AU,Plympton
ADM,Ardmore Municipal Airport,US,Dickson
ADN,Andes,CO,Los Andes
ADO,Andamooka,AU,
ADP,Ampara,LK,
ADQ,Kodiak Benny Benson State Airport,US,
ADR,Andrews,US,Andrews
ADS,Addison Airport,US,Haltom City
ADT,Ada Municipal,US,Ada
ADU,Ardabil Airport,IR,Namin
ADV,El Daein,SD,El Daein
ADW,Andrews AFB,US,Andrews AFB
ADX,Leuchars,GB,Leuchars
ADY,Alldays,ZA,
ADZ,Gustavo Rojas Pinilla Airport,CO,San Andres
AEA,Abemama Atoll,KI,
AEB,Youjiang,CN,Tianzhou
AED,Aleneva,US,
AEE,Adareil Airport,SS,
AEG,Aek Godang,ID,Padangsidempuan
AEH,Abéché,TD,Abeche
AEI,Algeciras,ES,Algeciras
AEK,Aseki,PG,
AEL,Albert Lea,US,Albert Lea
AEM,Amgu,RU,
AEO,Aioun El Atrouss,MR,
AEP,Jorge Newbery Airport,AR,Colegiales
AEQ,Ar Horqin Airport,CN,Tianshan
AER,Sochi International Airport,RU,Orel-Izumrud
AES,Vigra Alesund Airport,NO,Valderoy
AET,Allakaket,US,
AEU,Abu Musa,IR,
AEX,Alexandria International Airport,US,Alexandria
AEY,Akureyri Airport,IS,Akureyri
AFA,San Rafael Airport,AR,San Rafael
AFD,Port Alfred,ZA,
AFF,USAF Academy Airstrip,US,Cimarron Hills
AFI,Amalfi,CO,Amalfi
AFK,Ampara Kondavattavan Tank Airport,LK,Ampara
AFL,Alta Floresta Airport,BR,
AFN,Municipal,US,Jaffrey
AFO,Municipal,US,Afton
AFR,Afore,PG,
AFS,Zarafshan,UZ,Tomdibuloq
AFT,Afutara Aerodrome,SB,
AFW,Fort Worth Alliance Airport,US,Haslet
AFY,Afyon,TR,Afyonkarahisar
AFZ,Sabzevar,IR,Sabzevar
AGA,Agadir Al Massira Airport,MA,Inezgane
AGB,Augsburg Airport,DE,Rehling
AGC,Allegheny County Airport,US,Pleasant Hills
AGD,Anggi,ID,Warmare
AGE,Flugplatz,DE,Wangerooge
AGF,La Garenne Airport,FR,Le Passage
AGG,Angoram,PG,
AGH,Angelholm Helsingborg Airport,SE,
AGI,Wageningen,SR,Wageningen
AGJ,Aguni,JP,
AGK,Kagua,PG,
AGL,Wanigela,PG,
AGM,Tasiilaq,GL,
AGN,Angoon,US,
AGO,Municipal,US,Magnolia
AGP,Malaga Airport,ES,
AGQ,Agrinion,GR,Dhokimion
AGR,Kheria,IN,Agra
AGS,Augusta Regional Airport,US,
AGT,Alejo Garcia Airport,PY,Colonia Yguazu
AGU,Aguascalients International Airport,MX,Penuelas (El Cienegal)
AGV,Acarigua,VE,Araure
AGW,Agnew,AU,
AGX,Agatti Island Airport,IN,Kavaratti
AGZ,Aggeneys,ZA,Pofadder
AHA,Naha AFB,JP,
AHB,Abha Regional Airport,SA,
AHC,Amedee AAF,US,Janesville
AHD,Downtown,US,Ardmore
AHE,Ahe Airport,PF,
AHF,Municipal,US,Arapahoe
AHG,Agalega Island Airstrip,MU,
AHH,Municipal,US,Amery
AHI,Amahai,ID,Amahai
AHJ,Hongyuan Airport,CN,Qiongxi
AHL,Aishalton,GY,
AHM,Sumner Parker Field,US,Ashland
AHN,Athens-Ben Epps,US,Winterville
AHO,Alghero-Fertilia Airport,IT,Alghero
AHS,Ahuas,HN,Wawina
AHU,Charif Al Idrissi Airport,MA,Imzourene
AHW,Saih Rawl,OM,
AHY,Ambatolahy,MG,
AHZ,Alpe D Huez,FR,Huez
AIA,Alliance Airport,US,Alliance
AIC,Airok,MH,
AID,Municipal,US,Anderson
AIE,Aiome,PG,
AIF,Assis,BR,Assis
AIG,Yalinga,CF,
AIH,Aiambak,PG,
AII,Alisabieh,DJ,'Ali Sabieh
AIK,Municipal,US,Aiken
AIL,Ailigandi,PA,Ailigandi
AIM,Ailuk Island,MH,
AIN,Wainwright,US,
AIO,Municipal,US,Atlantic
AIP,Ailinglapalap Island,MH,
AIR,Aripuana,BR,
AIS,Arorae Island,KI,Kulia Village
AIT,Aitutaki Airport,CK,
AIU,Atiu Island,CK,
AIV,George Downer,US,Aliceville
AIW,Ai-ais,NA,
AIY,Bader Field,US,
AIZ,Lee C Fine Memorial,US,
AJA,Ajaccio Napoleon Bonaparte Airport,FR,Ajaccio
AJF,Jouf Airport,SA,Sakaka
AJI,Agri Airport,TR,Hamur
AJJ,Akjoujt,MR,Akjoujt
AJK,Araak,IR,Arak
AJL,Aizawl Airport,IN,Sairang
AJN,Ouani,KM,Ouani
AJR,Arvidsjaur Airport,SE,Arvidsjaur
AJS,Abreojos,MX,Bahia Asuncion
AJU,Aracaju Airport,BR,Aracaju
AJY,Agades,NE,Agadez
AKA,Ankang,CN,Ankang
AKB,Atka,US,
AKC,Fulton International,US,Sawyerwood
AKD,Akola,IN,Akola
AKE,Akieni,GA,
AKF,Kufrah,LY,Al Jawf
AKG,Anguganak,PG,
AKH,Prince Sultan Air Base,SA,Ad Dilam
AKI,Akiak,US,
AKJ,Asahikawa Airport,JP,Asahikawa
AKK,Akhiok SPB,US,
AKL,Auckland Airport,NZ,Mangere
AKM,Zakouma,TD,
AKN,King Salmon Airport,US,
AKO,Colorado Plains Regional Airport,US,Akron
AKP,Anaktuvuk,US,
AKQ,Gunung Batin,ID,Menggala
AKR,Akure,NG,Owena
AKS,Gwaunaru'u,SB,
AKT,Raf Akrotiri,CY,Kolossi
AKU,Aksu Airport,CN,
AKV,Akulivik,CA,
AKW,Aghajari,IR,Omidiyeh
AKX,Aktyubinsk Airport,KZ,Aqtobe
AKY,Civil Airport,MM,
ALA,Almaty Airport,KZ,Pervomayskiy
ALB,Albany International Airport,US,Colonie
ALC,Alicante-Elche Airport,ES,
ALD,Alerta,PE,
ALE,Alpine,US,Alpine
ALF,Alta Airport,NO,Alta
ALG,Houari Boumediene Airport,DZ,Dar el Beida
ALH,Albany Airport,AU,Albany
ALI,International,US,Alice
ALJ,Alexander Bay Airport,ZA,
ALK,Asela,ET,Huruta
ALL,Albenga,IT,Albenga
ALM,Municipal,US,Boles Acres
ALN,Alton,US,Bethalto
ALO,Waterloo Airport,US,Cedar Falls
ALP,Nejrab,SY,Aleppo
ALQ,Federal,BR,Alegrete
ALR,Alexandra,NZ,
ALS,Alamosa Municipal Airport,US,Alamosa
ALT,Alenquer,BR,Alenquer
ALU,Alula,SO,Bereeda
ALW,Walla Walla Airport,US,Walla Walla East
ALX,Thomas C Russell Field,US,Alexander City
ALY,El Nohza,EG,
ALZ,Alitak SPB,US,
AMA,Rick Husband Amarillo International Airport,US,
AMB,Ambilobe,MG,Ambilobe
AMC,Am Timan,TD,Am Timan
AMD,Ahmedabad Airport,IN,Naroda
AME,Alto Molocue,MZ,
AMF,Ama,PG,
AMG,Amboin,PG,
AMH,Arba Mintch Airport,ET,Arba Minch'
AMI,Selaparang,ID,Mataram
AMJ,Almenara,BR,Almenara
AMK,Animas Airpark,US,
AML,Puerto Armuellas,PA,Puerto Armuelles
AMM,Queen Alia International Airport,JO,Al Jizah
AMN,Gratiot Community,US,Alma
AMO,Mao,TD,Mao
AMP,Ampanihy,MG,Ampanihy
AMQ,Pattimura Airport,ID,Amahusu
AMR,Arno,MH,
AMS,Amsterdam Airport Schiphol,NL,Aalsmeer
AMT,Amata,AU,
AMU,Amanab,PG,
AMV,Amderma,RU,Vorgashor
AMW,Ames,US,Ames
AMX,Ammaroo,AU,
AMY,Ambatomainty,MG,
AMZ,Ardmore,NZ,Red Hill
ANA,John Wayne International,US,Anaheim
ANB,Anniston Metropolitan,US,Oxford
ANC,Ted Stevens Anchorage International Airport,US,
AND,Anderson,US,Centerville
ANE,Angers-Marce Airport,FR,
ANF,Cerro Moreno International Airport,CL,Antofagasta
ANG,Brie-Champniers,FR,Champniers
ANH,Anuha Island Resort,SB,
ANI,Aniak Airport,US,
ANJ,Zanaga,CG,
ANK,Etimesgut,TR,Batikent
ANL,Andulo,AO,Camacupa
ANM,Antsirabato,MG,Antalaha
ANN,Annette Island,US,
ANO,Angoche,MZ,
ANP,Lee,US,Annapolis
ANQ,Tri-State Steuben County,US,Angola
ANR,Antwerp International Airport,BE,Mortsel
ANS,Andahuaylas,PE,San Jeronimo
ANT,St Anton,AT,Sankt Anton am Arlberg
ANU,V.C. Bird International Airport,AG,Parham
ANV,Anvik Airport,US,
ANW,Ainsworth,US,Ainsworth
ANX,Andenes Airport,NO,Andenes
ANY,Anthony,US,Anthony
ANZ,Angus Downs,AU,
AOA,Aroa,PG,
AOB,Annanberg,PG,
AOC,Altenburg Nobitz,DE,Altenburg
AOD,Abou Deia,TD,
AOE,Anadolu University,TR,
AOG,Anshan Teng'ao Airport,CN,Anshan
AOH,Allen County,US,Lima
AOI,Ancona Falconara Airport,IT,Falconara Marittima
AOJ,Aomori Airport,JP,
AOK,Karpathos Airport,GR,Karpathos
AOL,Paso De Los Libres,AR,Paso de los Libres
AOM,Adam Airport,OM,
AON,Arona,PG,
AOO,Altoona Airport,US,Martinsburg
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE,Alianza Cristiana
AOR,Sultan Abdul Halim Airport,MY,Jitra
AOS,Amook,US,
AOT,Corrado Gex,IT,Chef-Lieu
AOU,Attopeu,LA,Attapu
APA,Centennial Airport,US,
APB,Apolo,BO,Mapiri
APC,Napa County,US,American Canyon
APD,Arung Palakka Airport,ID,
APE,San Juan Aposento,PE,
APF,Naples Municipal Airport,US,Naples
APG,Phillips AAF,US,Aberdeen
APH,Camp A P Hill,US,Bowling Green
API,Apiay,CO,Puerto Lopez
APJ,Ngari Burang Airport,CN,Burang
APK,Apataki,PF,
APL,Nampula Airport,MZ,Nampula
APN,Alpena County Regional Airport,US,Alpena
APO,Apartado Airport,CO,Carepa
APP,Asapa,PG,
APQ,Arapiraca,BR,Arapiraca
APR,April River,PG,
APS,Anapolis,BR,Anapolis
APT,Marion County,US,Powells Crossroads
APU,Apucarana,BR,
APV,Apple Valley,US,Apple Valley
APW,Faleolo Airport,WS,Satapuala
APX,Arapongas,BR,Apucarana
APY,Alto Parnaiba,BR,Morros
APZ,Zapala,AR,Zapala
AQA,Araraquara,BR,Araraquara
AQB,Quiche Airport,GT,Santa Cruz del Quiche
AQG,Anqing Tianzhushan Airport,CN,Anqing
AQI,Qaisumah Airport,SA,Al Qaysumah
AQJ,King Hussein International Airport,JO,Aqaba
AQM,Ariquemes,BR,Ariquemes
AQP,Rodriguez Ballon International Airport,PE,Arequipa
AQS,Saqani,FJ,
AQY,Alyeska,US,
ARA,Acadiana Regional,US,Cade
ARB,Municipal,US,Ann Arbor
ARC,Arctic Village,US,
ARD,Alor Island Airport,ID,Sifala
ARE,Arecibo,PR,Bajadero
ARF,Acaricuara,CO,
ARG,Walnut Ridge,US,Walnut Ridge
ARH,Talagi Airport,RU,Arkhangel'sk
ARI,Chacalluta Airport,CL,Arica
ARJ,Arso,ID,Arso
ARK,Arusha Airport,TZ,Arusha
ARL,Arly,BF,
ARM,Armidale Airport,AU,Armidale
ARN,Stockholm Arlanda Airport,SE,Marsta
ARO,Arboletas,CO,Arboletes
ARP,Aragip,PG,
ARQ,Arauquita,CO,Arauquita
ARR,Alto Rio Senguerr,AR,Alto Rio Senguer
ARS,Aragarcas,BR,Aragarcas
ART,Watertown Airport,US,Dexter
ARU,Aracatuba Airport,BR,Aracatuba
ARV,Noble F. Lee,US,Lac du Flambeau
ARW,Arad,RO,Arad
ARX,Asbury Park,US,Shark River Hills
ARY,Ararat,AU,Ararat
ARZ,N'zeto,AO,
ASA,Assab International,ER,
ASB,Ashgabat Airport,TM,Ashgabat
ASC,Ascension,BO,
ASD,Andros Town,BS,
ASE,Aspen Airport,US,Aspen
ASF,Astrakhan Airport,RU,Yaksatovo
ASG,Ashburton,NZ,Ashburton
ASH,Boire Field,US,Nashua
ASI,Saint Helena Airport,SH,
ASJ,Amami Airport,JP,
ASK,Yamoussoukro,CI,Yamoussoukro
ASL,Harrison County,US,Marshall
ASM,Asmara International Airport,ER,Asmara
ASN,Talladega,US,Talladega
ASO,Asosa Airport,ET,
ASP,Alice Springs Airport,AU,
ASQ,Austin,US,
ASR,Kayseri Airport,TR,Kayseri
ASS,Arathusa Safari Lodge,ZA,
AST,Astoria,US,Warrenton
ASU,Silvio Pettirossi International Airport,PY,Limpio
ASV,Amboseli,KE,Namanga
ASW,Aswan Airport,EG,Aswan
ASX,Ashland,US,Ashland
ASY,Ashley,US,Ashley
ASZ,Asirim,PG,
ATA,Anta,PE,Anta
ATB,Atbara,SD,Atbara
ATC,Arthur's Town,BS,
ATD,Atoifi,SB,
ATE,Antlers,US,Antlers
ATF,Chachoan,EC,San Miguel de Salcedo
ATG,Attock,PK,Akora
ATH,Eleftherios Venizelos International Airport,GR,Spata
ATI,Artigas,UY,Artigas
ATJ,Antsirabe,MG,Antsirabe
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,US,
ATL,Hartsfield-Jackson Atlanta International Airport,US,Atlanta
ATM,Altamira Airport,BR,Altamira
ATN,Namatanai,PG,
ATO,Ohio University,US,Athens
ATP,Airstrip,PG,
ATQ,Sri Guru Ram Dass Jee International Airport,IN,Raja Sansi
ATR,Mouakchott,MR,Atar
ATS,Artesia,US,Artesia
ATT,Atmautluak Airport,US,
ATU,Casco Cove,US,
ATV,Ati,TD,Ati
ATW,Outagamie County Regional Airport,US,Menasha
ATX,Atbasar,KZ,Atbasar
ATY,Watertown Airport,US,Watertown
ATZ,Assiut Airport,EG,Asyut
AUA,Reina Beatrix International Airport,AW,Oranjestad
AUB,Itauba Airport,BR,Itauba
AUC,Arauca Airport,CO,Arauca
AUD,Augustus Downs,AU,
AUE,Abu Rudeis,EG,
AUF,Auxerre Branches,FR,Appoigny
AUG,Augusta Airport,US,Augusta
AUH,Abu Dhabi International Airport,AE,
AUI,Aua Island,PG,
AUJ,Ambunti,PG,
AUK,Alakanuk Airport,US,
AUL,Aur Island,MH,Aur
AUM,Austin,US,Austin
AUN,Auburn,US,Auburn
AUO,Auburn-Opelika,US,Auburn
AUP,Agaun,PG,
AUQ,Hiva Oa Airport,PF,
AUR,Aurillac Airport,FR,Aurillac
AUS,Austin-Bergstrom International Airport,US,Hornsby Bend
AUT,Atauro,ID,
AUU,Aurukun Mission,AU,
AUV,Aumo,PG,
AUW,Municipal,US,Schofield
AUX,Araguaina Airport,BR,Araguaina
AUY,Aneityum,VU,
AUZ,Municipal Airport,US,Aurora
AVA,An Shun/Huang Guo Shu Airport,CN,Anshun
AVB,Aviano,IT,Roveredo in Piano
AVG,Auvergne,AU,
AVI,Maximo Gomez,CU,Ciro Redondo
AVK,Arvaikheer,MN,Arvayheer
AVL,Asheville Regional Airport,US,Fletcher
AVN,Avignon-Caumont Airport,FR,Noves
AVO,Municipal,US,Avon Park
AVP,Wilkes-Barre/Scranton International Airport,US,Avoca
AVR,Alverca,PT,Sobralinho
AVU,Avu Avu,SB,
AVV,Avalon Airport,AU,Little River
AVW,Avra Valley,US,Marana
AVX,Avalon Bay,US,
AWA,Awassa,ET,Hawassa
AWB,Awaba Airport,PG,Awaba
AWD,Aniwa,VU,
AWE,Alowe,GA,
AWK,Wake Island,UM,
AWM,Municipal,US,West Memphis
AWN,Alton Downs,AU,
AWP,Austral Downs Airport,AU,
AWR,Awar,PG,
AWZ,Ahwaz Airport,IR,Ahvaz
AXA,Clayton J. Lloyd International Airport,AI,The Valley
AXB,Alexandria Bay,US,Alexandria Bay
AXC,Aramac,AU,
AXD,Demokritos Airport,GR,Alexandroupoli
AXE,Xanxere,BR,Xanxere
AXF,Alxa Left Banner,CN,Bayan Hot
AXG,Algona,US,Algona
AXJ,Amakusa,JP,Hondo
AXK,Ataq,YE,
AXL,Alexandria,AU,
AXM,El Eden Airport,CO,La Tebaida
AXN,Alexandria,US,Alexandria
AXO,Bandar Udara Pantar,ID,Pantar
AXP,Springpoint Airport,BS,Masons Bay
AXR,Arutua Airport,PF,Arutua
AXS,Altus/Quartz Mountain Regional Airport,US,
AXT,Akita Airport,JP,Akita
AXU,Axum Airport,ET,Aksum
AXV,Neil Armstrong,US,Wapakoneta
AXX,Angel Fire,US,Angel Fire
AYA,Ayapel,CO,Ayapel
AYC,Ayacucho,CO,Pelaya
AYD,Alroy Downs,AU,
AYE,AAF Heliport,US,Ayer
AYG,Yaguara,CO,
AYI,Yari,CO,
AYJ,Maharishi Valmiki International Airport,IN,Faizabad
AYK,Arkalyk,KZ,Arkalyk
AYL,Anthony Lagoon,AU,
AYM,Yas Island SPB,AE,
AYN,Anyang Airport,CN,Anyang
AYO,Ayolas,PY,Ayolas
AYP,Yanamilla Airport,PE,Carmen Alto
AYQ,Connellan Airport,AU,
AYR,Ayr,AU,Ayr
AYS,Ware County,US,Deenwood
AYT,Antalya Airport,TR,Aksu
AYU,Aiyura,PG,
AYW,Ayawasi,ID,Aifat
AYX,Gerardo Pérez Pinedo,PE,Puerto Ocopa
AYY,Arugam Bay SPB,LK,
AYZ,Zahns,US,Amityville
AZA,Phoenix-Mesa Gateway Airport,US,Queen Creek
AZB,Amazon Bay,PG,
AZD,Yazd Airport,IR,Yazd
AZG,Apatzingan,MX,Apatzingan
AZH,Azamgarh Airport,IN,Manduri
AZI,Bateen,AE,
AZJ,Zhenjiang Dalu,CN,Changzhou
AZL,Fazenda Tucunare Airport,BR,
AZN,Andizhan Airport,UZ,Andijon
AZO,Kalamazoo Battle Creek International Airport,US,Portage
AZP,Atizapan,MX,Iztacalco
AZR,Adrar Airport,DZ,Adrar
AZS,Samaná El Catey International,DO,Sanchez
AZT,Zapatoca,CO,Betulia
AZZ,Ambriz,AO,Nzeto
BAA,Bialla,PG,
BAB,Beale AFB,US,Marysville
BAC,Barranca De Upia,CO,Barranca de Upia
BAD,Barksdale AFB,US,Bossier City
BAE,Barcelonnette,FR,Barcelonnette
BAF,Barnes,US,Westfield
BAG,Loakan,PH,Tuding
BAH,Bahrain International Airport,BH,Al Muharraq
BAI,Buenos Aires,CR,Buenos Aires
BAJ,Bali,PG,
BAL,Batman Airport,TR,Yenikoy
BAM,Lander County,US,Battle Mountain
BAN,Basongo,CD,
BAO,Udorn,TH,
BAP,Baibara,PG,
BAQ,E Cortissoz Airport,CO,Malambo
BAR,Baker AAF,US,
BAS,Balalae,SB,
BAT,Airport Chafei Amsei,BR,Barretos
BAU,Bauru Airport,BR,Bauru
BAV,Baotou Airport,CN,Shulinzhao
BAW,Biawonque,GA,
BAX,Barnaul Gherman Titov International Airport,RU,Gon'ba
BAY,Baia Mare,RO,Tautii Magherus
BAZ,Barbelos,BR,Barcelos
BBA,Teniente Vidal Airport,CL,
BBB,Benson Municipal Airport,US,Benson
BBC,Bay City,US,Bay City
BBD,Curtis Field,US,Brady
BBF,Burlington,US,Burlington
BBG,Butaritari,KI,
BBH,Barth,DE,
BBI,Biju Patnaik International Airport,IN,Bhubaneshwar
BBJ,Bitburg Air Base,DE,Bitburg
BBK,Kasane Airport,BW,Kasane
BBL,Ballera Airport,AU,
BBM,Battambang,KH,Battambang
BBN,Bario Airport,MY,
BBO,Berbera,SO,Berbera
BBP,Bembridge,GB,
BBQ,Barbuda,AG,Codrington
BBR,Baillif,GP,Baillif
BBS,Blackbushe,GB,Yateley
BBT,Berberati,CF,Berberati
BBU,Baneasa,RO,
BBV,Hkg,CI,
BBW,Broken Bow,US,Broken Bow
BBX,Wings Field,US,Blue Bell
BBY,Bambari,CF,Bambari
BBZ,Zambezi,ZM,
BCA,Baracoa,CU,Baracoa
BCB,Virginia Tech,US,Blacksburg
BCC,Bear Creek,US,Red Lodge
BCD,Bacolod-Silay International Airport,PH,Bacolod City
BCE,Bryce,US,
BCF,Bouca,CF,Bouca
BCG,Bemichi,GY,
BCH,Cakung International,TL,Baucau
BCI,Barcaldine Airport,AU,
BCJ,Baca Grande,US,Buena Vista
BCK,Bolwarra,AU,Atherton
BCL,Barra Colorado,CR,Matina
BCM,Bacau Airport,RO,Margineni-Munteni
BCN,Barcelona-El Prat Airport,ES,El Prat de Llobregat
BCO,Jinka,ET,
BCP,Bambu,PG,
BCQ,Brack,LY,Brak
BCR,Boca Do Acre,BR,Boca do Acre
BCS,Southern Seaplane,US,
BCT,Boca Raton Airport,US,Boca Raton
BCU,Bauchi,NG,Bauchi
BCV,Belmopan,BZ,
BCW,Benguera Island,MZ,
BCX,Beloreck,RU,Lomovka
BCY,Bulchi,ET,Felege Neway
BCZ,Bickerton Island,AU,
BDA,L.F. Wade International Airport,BM,
BDB,Bundaberg Airport,AU,Thabeban
BDC,Barra Do Corda,BR,Barra do Corda
BDD,Badu Island,AU,
BDE,Baudette,US,
BDF,Rinkenberger,US,Wyoming
BDG,Blanding,US,Blanding
BDH,Bandar Lengeh,IR,Bandar-e Lengeh
BDI,Bird Island,SC,Bel Ombre
BDJ,Syamsudin Noor International Airport,ID,Banjarbaru
BDK,Bondoukou,CI,Bondoukou
BDL,Bradley International Airport,US,Windsor Locks
BDM,Bandirma,TR,Bandirma
BDN,Talhar,PK,Badin
BDO,Husein Sastranegara Airport,ID,Bandung
BDP,Bhadrapur Airport,NP,Bhadrapur
BDQ,Vadodara Airport,IN,Vadodara
BDR,Igor I. Sikorsky Memorial,US,
BDS,Brindisi - Salento Airport,IT,Materdomini
BDT,Gbadolite,CD,Ouango
BDU,Bardufoss Airport,NO,Moen
BDV,Moba,CD,Karema
BDW,Bedford Downs,AU,
BDX,Broadus,US,Broadus
BDY,State,US,Bandon
BDZ,Baindoung,PG,
BEA,Bereina,PG,
BEB,Benbecula Airport,GB,Benbecula
BEC,Beech,US,
BED,Hanscom Field,US,Bedford
BEE,Beagle Bay,AU,
BEF,Bluefields,NI,Bluefields
BEG,Belgrad Nikola Tesla Airport,RS,Surcin
BEH,Ross Field,US,Benton Heights
BEI,Beica,ET,Asosa
BEJ,Kalimarau Airport,ID,
BEK,Bareli,IN,Rae Bareli
BEL,Val De Cans International Airport,BR,Belem
BEM,Beni Mellal Airport,MA,Beni Mellal
BEN,Benina International,LY,Benghazi
BEO,Belmont,AU,Belmont
BEP,Bellary,IN,Bellary
BEQ,Honington,GB,Thetford
BER,Berlin Brandenburg Airport,DE,
BES,Brest Bretagne Airport,FR,Guipavas
BET,Bethel Airport,US,
BEU,Bedourie,AU,
BEV,Beer Sheba,IL,Beersheba
BEW,Beira Airport,MZ,
BEX,Benson RAF Station,GB,Benson
BEY,Beirut-Rafic Hariri International Airport,LB,Baabda
BEZ,Beru,KI,
BFA,Bahia Negra,PY,
BFB,Blue Fox Bay,US,
BFC,Bloomfield,AU,
BFD,Bradford Airport,US,Bradford
BFE,Bielefeld,DE,Bielefeld
BFF,Western Nebraska Regional Airport,US,Terrytown
BFG,Bullfrog Basin,US,
BFH,Bacacheri,BR,Curitiba
BFI,Boeing Field International Airport,US,Boulevard Park
BFJ,Bijie Airport,CN,Bijie
BFK,Buffalo Municipal Airport,US,Aurora
BFL,Meadows Field Airport,US,Oildale
BFM,Mobile Downtown Airport,US,
BFN,Bram Fischer International Airport,ZA,Bloemfontein
BFO,Buffalo Range,ZW,
BFP,Beaver Falls,US,West Mayfield
BFQ,Bahia Pinas,PA,
BFR,Virgil I Grissom Municipalcipal,US,Bedford
BFS,Belfast International Airport,GB,Antrim
BFT,County,US,Beaufort
BFU,Bengbu,CN,Bengbu
BFV,Buri Ram Airport,TH,Satuek
BFW,Sidi Belabbes,DZ,Sidi Bel Abbes
BFX,Bafoussam,CM,Bafoussam
BFY,Bengbu Tenghu Airport,CN,
BGA,Palonegro International Airport,CO,Lebrija
BGB,Booue,GA,
BGC,Braganca Airport,PT,Braganca
BGD,Borger,US,Borger
BGE,Decatur County,US,Bainbridge
BGF,Bangui Airport,CF,Bangui
BGG,Bingol Airport,TR,
BGH,Abbaye,MR,Golere
BGI,Grantley Adams International Airport,BB,
BGJ,Borgarfjordur Eystri,IS,
BGK,Big Creek,BZ,
BGL,Baglung,NP,Baglung
BGM,Greater Binghamton Airport,US,Johnson City
BGN,Belaya Gora Airport,RU,Belaya Gora
BGO,Bergen Airport,NO,Ytrebygda
BGP,Bongo,GA,
BGQ,Big Lake,US,
BGR,Bangor International Airport,US,Bangor
BGS,Webb AFB,US,
BGT,Bagdad,US,Bagdad
BGU,Bangassou,CF,
BGV,Bento Goncalves,BR,Bento Goncalves
